url,software,track,type,license,status
https://www.youtube.com/watch?v=1uT1Yy0C1_Y,MATLAB,Track B,Tutorial Video,YouTube,READY
https://www.youtube.com/watch?v=R9Z_b-xQ25s,MATLAB,Track B,Tutorial Video,YouTube,READY
https://www.youtube.com/watch?v=yW1H20N-V8o,MATLAB,Track B,Tutorial Video,YouTube,READY
https://www.youtube.com/watch?v=P_Vn-U3-4cM,MATLAB,Track B,Tutorial Video,YouTube,READY
https://www.youtube.com/watch?v=aG3mPZ-v0uQ,MATLAB,Track B,Tutorial Video,YouTube,READY
https://www.youtube.com/watch?v=4h0Q4bH0t-g,MATLAB,Track B,Tutorial Video,YouTube,READY
https://www.youtube.com/watch?v=a3KVYSbTvbY,MATLAB,Track B,Tutorial Video,YouTube,READY
https://www.youtube.com/watch?v=gC69A6SH6nE,MATLAB,Track B,Tutorial Video,YouTube,READY
https://www.youtube.com/watch?v=7f50sQYjNRA,MATLAB,Track B,Tutorial Video,YouTube,READY
https://www.youtube.com/watch?v=dD0NMXxxzgU,MATLAB,Track B,Tutorial Video,YouTube,READY
https://www.youtube.com/watch?v=rZ-pLx5P5C0,MATLAB,Track B,Tutorial Video,YouTube,READY
