video_url,title,duration_sec,views,chunks_extracted,flag
https://www.youtube.com/watch?v=-W3VfX2naK0,Intro to ChemSep & complex distillation| Separation of mixtures| DWSIM Simulation for Beginners,906,380,8,OK
https://www.youtube.com/watch?v=0P8TUovtZe4,Introductory Course - Intro,156,11580,1,OK
https://www.youtube.com/watch?v=1_GiV0IYeG8,Shell-and-Tube Heat Exchanger Simulation in DWSIM | n-Hexadecane–Water Example #DWSIM #HeatExchanger,669,246,6,OK
https://www.youtube.com/watch?v=3oS8e3DnHZg,DWSIM Flowsheet Ideas | Free Process Simulation | Dwsim,592,3026,4,OK
https://www.youtube.com/watch?v=5DdbFx8sQY0,Basic Course 2 - The Solution Inspector,461,2723,4,OK
https://www.youtube.com/watch?v=7GbyR6fpcEY,How to Simulate a Valve in DWSIM | Step-by-Step Tutorial,710,451,5,OK
https://www.youtube.com/watch?v=8udvcf8hNkU,Chemical Process Simulation | Distillation Column Simulation| Logic blocks - DWSIM-Water & Methanol,873,1929,5,OK
https://www.youtube.com/watch?v=ECSqyelD0Vs,Tutorial Video,0,0,0,INACCESSIBLE
https://www.youtube.com/watch?v=EyEWsFtpDN4,Isothermal Flash Separator Simulation Tutorial- DWSIM,629,1890,5,OK
https://www.youtube.com/watch?v=FQQJtY0gqYE,playing with DWSim 5 - heat exchangers part 1,1361,3555,12,OK
https://www.youtube.com/watch?v=FWvKupGFiS0,Multicomponent Distillation in DWSIM | dwsim tutorials,629,9805,7,OK
https://www.youtube.com/watch?v=GHy0n4-MlGk,DWSIM Tutorial : Organic Rankine Cycle Simulation,627,20110,0,NO_TRANSCRIPT
https://www.youtube.com/watch?v=HBH_jp5sP_k,Heat Exchanger : Setting the Vapor fraction in a stream using DWSIM,593,2070,4,OK
https://www.youtube.com/watch?v=HehCfcSHjk4,Adding a ChemSep Distillation Column,333,7561,0,NO_TRANSCRIPT
https://www.youtube.com/watch?v=Ip6phfp22Rw,Tutorial Video,0,0,0,INACCESSIBLE
https://www.youtube.com/watch?v=LiQA0RwSN50,Extractive Distillation Simulations| Complex Distillation Column| DWSIM Simulation for Beginners,3280,419,0,DURATION_SKIP
https://www.youtube.com/watch?v=MRb3N8rfjiA,"DWSIM Tutorial 3 (Pumps, Heaters & Pipe Segments)",360,15966,8,OK
https://www.youtube.com/watch?v=O2n7XChXj_g,Simulation of CSTR Reactor in DWSIM | Reactor Volume Comparison for CSTR and PFR Reactor,973,14741,10,OK
https://www.youtube.com/watch?v=OHs1u8WUR4M,"DWSIM Process Simulation 🔥 | Gas Compression, Cooling & Phase Separation (Chemical Engineering)",672,269,5,OK
https://www.youtube.com/watch?v=PJhubXTKrNw,Benzene-Toluene Distillation in DWSIM 9.0.5 | Complete Step-by-Step Tutorial | Chemical Engineering,716,513,10,OK
https://www.youtube.com/watch?v=-DmTK868J4A,How to Use Built-In ODE Solvers in MATLAB,366,29730,4,OK
https://www.youtube.com/watch?v=0hArv-UBKQQ,How to Import Excel Data into MATLAB,243,147496,3,OK
https://www.youtube.com/watch?v=1MpbPd6Ri-8,"How To Run Model Predictive Control Faster | Understanding MPC, Part 5",455,74400,4,OK
https://www.youtube.com/watch?v=21WQB0E-6-M,"Understanding Discrete Event Simulation, Part 1: What Is Discrete Event Simulation",269,86919,0,NO_TRANSCRIPT
https://www.youtube.com/watch?v=3tdq1iKs5UA,Activate or Renew MATLAB / Mathworks License,162,123056,2,OK
https://www.youtube.com/watch?v=4jvYyB6VMHQ,Error analysis using MATLAB | Numerical Methods | @MATLABHelper,352,10649,5,OK
https://www.youtube.com/watch?v=7dUVdrs1e18,"Noise Filtering in PID Control | Understanding PID Control, Part 3",712,408636,2,OK
https://www.youtube.com/watch?v=8kKkq2mk7gA,Simulate Nonlinear Systems in MATLAB (ode45),589,1690,4,OK
https://www.youtube.com/watch?v=ANBBiL_t0qU,Simulink Tutorial - Tutorial 1 - Introduction,421,93851,5,OK
https://www.youtube.com/watch?v=Bc9_TUFoCAw,Model-Based Design with MATLAB and Simulink,129,94088,0,NO_TRANSCRIPT
https://www.youtube.com/watch?v=ENhFepqjFOY,How to Automatically Tune PID Controllers,361,115805,2,OK
https://www.youtube.com/watch?v=EdqZ4FCIVqM,MATLAB Simulink Tutorial - 02 - Introducing MATLAB Simulink Tutorial,364,9,1,OK
https://www.youtube.com/watch?v=FurC2unHeXI,"Open-Loop Control Systems | Understanding Control Systems, Part 1",345,242518,7,OK
https://www.youtube.com/watch?v=Hp6FNrtlk3U,MATLAB ode45: How To Solve a System of Ordinary Differential Equations  (ODE - with discrete data),812,45674,4,OK
https://www.youtube.com/watch?v=KGn5m-LD9Ng,How to Get Started Learning MATLAB: 10 Tips for Students,328,4241,11,OK
https://www.youtube.com/watch?v=LyKb1MvCiG8,MATLAB: Coding while loops to validate user inputs,717,3743,4,OK
https://www.youtube.com/watch?v=MylJIqVVNr0,How to Get Started with Control Systems in MATLAB,291,65072,5,OK
https://www.youtube.com/watch?v=PT5v9bpp4-A,Phase II: Exploiting the Model |  | Fault Detection and Diagnosis in Process Plants pt. 3,693,2531,3,OK
https://www.youtube.com/watch?v=QIAxyLchf4k,Simulink Basics - A Practical Look,3464,160821,0,DURATION_SKIP
https://www.youtube.com/watch?v=RBfqGFldjhA,Where have I been?,150,204379,1,OK
https://www.youtube.com/watch?v=ECSqyelD0Vs,Tutorial Video,0,0,0,INACCESSIBLE
https://www.youtube.com/watch?v=GHy0n4-MlGk,DWSIM Tutorial : Organic Rankine Cycle Simulation,627,20110,0,NO_TRANSCRIPT
https://www.youtube.com/watch?v=HehCfcSHjk4,Adding a ChemSep Distillation Column,333,7561,0,NO_TRANSCRIPT
https://www.youtube.com/watch?v=Ip6phfp22Rw,Tutorial Video,0,0,0,INACCESSIBLE
https://www.youtube.com/watch?v=LiQA0RwSN50,Extractive Distillation Simulations| Complex Distillation Column| DWSIM Simulation for Beginners,3280,419,0,DURATION_SKIP
https://www.youtube.com/watch?v=R6m7c41NgMk,Tutorial Video,0,0,0,INACCESSIBLE
